"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"SharedDataModelResearchCollection","SharedDataModelResearchCollection","","","",0,*,"","","","null {[]} {[]}
","Shared Data Model for Research Collection","The **Shared Data Model for Research Collection** represent various collections of research data including, but not limited, to Consortia, Programs, adhoc collections of Studies and datasets among other types of collections.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"SharedDataModelResearchCollection.name","SharedDataModelResearchCollection.name","","","",1,1,"","","","string {[]} {[]}
","The title of the collection.","The title of the collection.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchCollection.name",1,1,"",""
"SharedDataModelResearchCollection.description","SharedDataModelResearchCollection.description","","","",0,1,"","","","string {[]} {[]}
","The description of the collection.","The description of the collection.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchCollection.description",0,1,"",""
"SharedDataModelResearchCollection.type","SharedDataModelResearchCollection.type","","","",1,1,"","","","code {[]} {[]}
","The type of collection being described.","The type of collection being described.","","","","","","","","","",,"extensible","","https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/collection-type-vs","",,,,"SharedDataModelResearchCollection.type",1,1,"",""
"SharedDataModelResearchCollection.website","SharedDataModelResearchCollection.website","","","",0,1,"","","","url {[]} {[]}
","A URL for a website, document, or other reference that provides more information as an authoritative source of information about the collection.","A URL for a website, document, or other reference that provides more information as an authoritative source of information about the collection.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchCollection.website",0,1,"",""
"SharedDataModelResearchCollection.items","SharedDataModelResearchCollection.items","","","",1,*,"","","","Reference {[]} {[]}
","List of references to items included in the list. These can be studies, datasets, etc.","List of references to items included in the list. These can be studies, datasets, etc.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchCollection.items",1,*,"",""
