"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"SharedDataModelResearchDataAccessPolicy","SharedDataModelResearchDataAccessPolicy","","","",0,*,"","","","null {[]} {[]}
","Shared Data Model for Research Data Access Policy","The **Shared Data Model for Research Data Access Policy** represent the various Data Use Agreements that govern a researcher's access and use of research data.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"SharedDataModelResearchDataAccessPolicy.policyCode","SharedDataModelResearchDataAccessPolicy.policyCode","","","",1,*,"","","","code {[]} {[]}
","Enumerated values that describe the policy including: dbGaP consent codes, DUO Terms among others. The bindings to these terms should enable groups to create their own codes.","Enumerated values that describe the policy including: dbGaP consent codes, DUO Terms among others. The bindings to these terms should enable groups to create their own codes.","","","","","","","","","",,"required","","https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/research-data-access-code-vs","",,,,"SharedDataModelResearchDataAccessPolicy.policyCode",1,*,"",""
"SharedDataModelResearchDataAccessPolicy.description","SharedDataModelResearchDataAccessPolicy.description","","","",1,1,"","","","string {[]} {[]}
","Free text further describing the policy, including description of necessary steps for gaining access to data","Free text further describing the policy, including description of necessary steps for gaining access to data","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchDataAccessPolicy.description",1,1,"",""
"SharedDataModelResearchDataAccessPolicy.website","SharedDataModelResearchDataAccessPolicy.website","","","",0,1,"","","","url {[]} {[]}
","TBD","TBD","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchDataAccessPolicy.website",0,1,"",""
