"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"SharedDataModelStudyParticipant","SharedDataModelStudyParticipant","","","",0,*,"","","","null {[]} {[]}
","Shared Data Model for Research Participant and Study Mapping","The **Shared data model for StudyParticipant**","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"SharedDataModelStudyParticipant.participant","SharedDataModelStudyParticipant.participant","","","",1,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/StructureDefinition/valueset-reference]]} {[]}
","The participant we are describing","The participant we are describing","","","","","","","","","",,,,,"",,,,"SharedDataModelStudyParticipant.participant",1,1,"",""
"SharedDataModelStudyParticipant.researchStudy","SharedDataModelStudyParticipant.researchStudy","","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/StructureDefinition/valueset-reference]]} {[]}
","The Research Study this participant has a relationship with","The Research Study this participant has a relationship with","","","","","","","","","",,,,,"",,,,"SharedDataModelStudyParticipant.researchStudy",0,1,"",""
"SharedDataModelStudyParticipant.accessPolicy","SharedDataModelStudyParticipant.accessPolicy","","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/StructureDefinition/valueset-reference]]} {[]}
","The Access Policy that may apply to this participant's data from this study. Not canonical, ie, one must rely on the row level AP.","The Access Policy that may apply to this participant's data from this study. Not canonical, ie, one must rely on the row level AP.","","","","","","","","","",,,,,"",,,,"SharedDataModelStudyParticipant.accessPolicy",0,*,"",""
